код_мкб,название_диагноза,класс_заболевания
a00,холера,некоторые инфекционные и паразитарные болезни
a00.0,"холера, вызванная холерным вибрионом 01, биовар cholerae",некоторые инфекционные и паразитарные болезни
a00.1,"холера, вызванная холерным вибрионом 01, биовар eltor",некоторые инфекционные и паразитарные болезни
a00.9,холера неуточненная,некоторые инфекционные и паразитарные болезни
a01,тиф и паратиф,некоторые инфекционные и паразитарные болезни
a01.0,брюшной тиф,некоторые инфекционные и паразитарные болезни
a01.1,паратиф a,некоторые инфекционные и паразитарные болезни
a01.2,паратиф b,некоторые инфекционные и паразитарные болезни
a01.3,паратиф c,некоторые инфекционные и паразитарные болезни
a01.4,паратиф неуточненный,некоторые инфекционные и паразитарные болезни
a02,другие сальмонеллезные инфекции,некоторые инфекционные и паразитарные болезни
a02.0,сальмонеллезный энтерит,некоторые инфекционные и паразитарные болезни
a02.1,сальмонеллезный сепсис,некоторые инфекционные и паразитарные болезни
a02.2,локализованная сальмонеллезная инфекция,некоторые инфекционные и паразитарные болезни
a02.8,другая уточненная сальмонеллезная инфекция,некоторые инфекционные и паразитарные болезни
a02.9,сальмонеллезная инфекция неуточненная,некоторые инфекционные и паразитарные болезни
a03,шигеллез,некоторые инфекционные и паразитарные болезни
a03.0,"шигеллез, вызванный shigella dysenteriae",некоторые инфекционные и паразитарные болезни
a03.1,"шигеллез, вызванный shigella flexneri",некоторые инфекционные и паразитарные болезни
a03.2,"шигеллез, вызванный shigella boydii",некоторые инфекционные и паразитарные болезни
a03.3,"шигеллез, вызванный shigella sonnei",некоторые инфекционные и паразитарные болезни
a03.8,другой шигеллез,некоторые инфекционные и паразитарные болезни
a03.9,шигеллез неуточненный,некоторые инфекционные и паразитарные болезни
a04,другие бактериальные кишечные инфекции,некоторые инфекционные и паразитарные болезни
a04.0,"энтеропатогенная инфекция, вызванная escherichia coli",некоторые инфекционные и паразитарные болезни
a04.1,"энтеротоксигенная инфекция, вызванная escherichia coli",некоторые инфекционные и паразитарные болезни
a04.2,"энтероинвазивная инфекция, вызванная escherichia coli",некоторые инфекционные и паразитарные болезни
a04.3,"энтерогеморрагическая инфекция, вызванная escherichia coli",некоторые инфекционные и паразитарные болезни
a04.4,"другие кишечные инфекции, вызванные escherichia coli",некоторые инфекционные и паразитарные болезни
a04.5,"энтерит, вызванный campylobacter",некоторые инфекционные и паразитарные болезни
a04.6,"энтерит, вызванный yersinia enterocolitica",некоторые инфекционные и паразитарные болезни
a04.7,"энтероколит, вызванный clostridium difficile",некоторые инфекционные и паразитарные болезни
a04.8,другие уточненные бактериальные кишечные инфекции,некоторые инфекционные и паразитарные болезни
a04.9,бактериальная кишечная инфекция неуточненная,некоторые инфекционные и паразитарные болезни
a05,"другие бактериальные пищевые отравления, не классифицированные в других рубриках",некоторые инфекционные и паразитарные болезни
a05.0,стафилококковое пищевое отравление,некоторые инфекционные и паразитарные болезни
a05.1,ботулизм,некоторые инфекционные и паразитарные болезни
a05.2,"пищевое отравление, вызванное clostridium perfringens [clostridium weichii]",некоторые инфекционные и паразитарные болезни
a05.3,"пищевое отравление, вызванное vibrio parahaemolyticus",некоторые инфекционные и паразитарные болезни
a05.4,"пищевое отравление, вызванное bacillus cereus",некоторые инфекционные и паразитарные болезни
a05.8,другие уточненные бактериальные пищевые отравления,некоторые инфекционные и паразитарные болезни
a05.9,бактериальное пищевое отравление неуточненное,некоторые инфекционные и паразитарные болезни
a06,амебиаз,некоторые инфекционные и паразитарные болезни
a06.0,острая амебная дизентерия,некоторые инфекционные и паразитарные болезни
a06.1,хронический кишечный амебиаз,некоторые инфекционные и паразитарные болезни
a06.2,амебный недизентерийный колит,некоторые инфекционные и паразитарные болезни
a06.3,амебома кишечника,некоторые инфекционные и паразитарные болезни
a06.4,амебный абсцесс печени (k77.0*),некоторые инфекционные и паразитарные болезни
a06.5,амебный абсцесс легкого,некоторые инфекционные и паразитарные болезни
a06.6,амебный абсцесс головного мозга (g07*),некоторые инфекционные и паразитарные болезни
a06.7,кожный амебиаз,некоторые инфекционные и паразитарные болезни
a06.8,амебная инфекция другой локализации,некоторые инфекционные и паразитарные болезни
a06.9,амебиаз неуточненный,некоторые инфекционные и паразитарные болезни
a07,другие протозойные кишечные болезни,некоторые инфекционные и паразитарные болезни
a07.0,балантидиаз,некоторые инфекционные и паразитарные болезни
a07.1,жиардиаз [лямблиоз],некоторые инфекционные и паразитарные болезни
a07.2,криптоспоридиоз,некоторые инфекционные и паразитарные болезни
a07.3,изоспороз,некоторые инфекционные и паразитарные болезни
a07.8,другие уточненные протозойные кишечные болезни,некоторые инфекционные и паразитарные болезни
a07.9,протозойная кишечная болезнь неуточненная,некоторые инфекционные и паразитарные болезни
a08,вирусные и другие уточненные кишечные инфекции,некоторые инфекционные и паразитарные болезни
a08.0,ротавирусный энтерит,некоторые инфекционные и паразитарные болезни
a08.1,"острая гастроэнтеропатия, вызванная норовирусом",некоторые инфекционные и паразитарные болезни
a08.2,аденовирусный энтерит,некоторые инфекционные и паразитарные болезни
a08.3,другие вирусные энтериты,некоторые инфекционные и паразитарные болезни
a08.4,вирусная кишечная инфекция неуточненная,некоторые инфекционные и паразитарные болезни
a08.5,другие уточненные кишечные инфекции,некоторые инфекционные и паразитарные болезни
a09,другой гастроэнтерит и колит инфекционного и неуточненного происхождения,некоторые инфекционные и паразитарные болезни
a09.0,другой и неуточненный гастроэнтерит и колит инфекционного происхождения,некоторые инфекционные и паразитарные болезни
a09.9,гастроэнтерит и колит неуточненного происхождения,некоторые инфекционные и паразитарные болезни
a15,"туберкулез органов дыхания, подтвержденный бактериологически и гистологически",некоторые инфекционные и паразитарные болезни
a15.0,"туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры",некоторые инфекционные и паразитарные болезни
a15.1,"туберкулез легких, подтвержденный только ростом культуры",некоторые инфекционные и паразитарные болезни
a15.2,"туберкулез легких, подтвержденный гистологически",некоторые инфекционные и паразитарные болезни
a15.3,"туберкулез легких, подтвержденный неуточненными методами",некоторые инфекционные и паразитарные болезни
a15.4,"туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически",некоторые инфекционные и паразитарные болезни
a15.5,"туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически",некоторые инфекционные и паразитарные болезни
a15.6,"туберкулезный плеврит, подтвержденный бактериологически и гистологически",некоторые инфекционные и паразитарные болезни
a15.7,"первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически",некоторые инфекционные и паразитарные болезни
a15.8,"туберкулез других органов дыхания, подтвержденный бактериологически и гистологически",некоторые инфекционные и паразитарные болезни
a15.9,"туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически",некоторые инфекционные и паразитарные болезни
a16,"туберкулез органов дыхания, не подтвержденный бактериологически или гистологически",некоторые инфекционные и паразитарные болезни
a16.0,туберкулез легких при отрицательных результатах бактериологических и гистологических исследований,некоторые инфекционные и паразитарные болезни
a16.1,туберкулез легких без проведения бактериологического и гистологического исследований,некоторые инфекционные и паразитарные болезни
a16.2,туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении,некоторые инфекционные и паразитарные болезни
a16.3,туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении,некоторые инфекционные и паразитарные болезни
a16.4,"туберкулез гортани, трахеи и бронхов без упоминания о бактериологическом или гистологическом подтверждении",некоторые инфекционные и паразитарные болезни
a16.5,туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении,некоторые инфекционные и паразитарные болезни
a16.7,первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении,некоторые инфекционные и паразитарные болезни
a16.8,туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении,некоторые инфекционные и паразитарные болезни
a16.9,туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении,некоторые инфекционные и паразитарные болезни
a17,туберкулез нервной системы,некоторые инфекционные и паразитарные болезни
a17.0,туберкулезный менингит (g01*),некоторые инфекционные и паразитарные болезни
a17.1,менингеальная туберкулема (g07*),некоторые инфекционные и паразитарные болезни
a17.8,туберкулез нервной системы другой локализаций,некоторые инфекционные и паразитарные болезни
a17.9,туберкулез нервной системы неуточненный (g99.8*),некоторые инфекционные и паразитарные болезни
a18,туберкулез других органов,некоторые инфекционные и паразитарные болезни
a18.0,туберкулез костей и суставов,некоторые инфекционные и паразитарные болезни
a18.1,туберкулез мочеполовых органов,некоторые инфекционные и паразитарные болезни
a18.2,туберкулезная периферическая лимфаденопатия,некоторые инфекционные и паразитарные болезни
a18.3,"туберкулез кишечника, брюшины и брыжеечных лимфатических узлов",некоторые инфекционные и паразитарные болезни
a18.4,туберкулез кожи и подкожной клетчатки,некоторые инфекционные и паразитарные болезни
a18.5,туберкулез глаза,некоторые инфекционные и паразитарные болезни
a18.6,туберкулез уха,некоторые инфекционные и паразитарные болезни
a18.7,туберкулез надпочечников (e35.1*),некоторые инфекционные и паразитарные болезни
a18.8,туберкулез других уточненных органов,некоторые инфекционные и паразитарные болезни
a19,милиарный туберкулез,некоторые инфекционные и паразитарные болезни
a19.0,острый милиарный туберкулез одной уточненной локализации,некоторые инфекционные и паразитарные болезни
a19.1,острый милиарный туберкулез множественной локализации,некоторые инфекционные и паразитарные болезни
a19.2,острый милиарный туберкулез неуточненной локализации,некоторые инфекционные и паразитарные болезни
a19.8,другие формы милиарного туберкулеза,некоторые инфекционные и паразитарные болезни
a19.9,милиарный туберкулез неуточненной локализации,некоторые инфекционные и паразитарные болезни
a20,чума,некоторые инфекционные и паразитарные болезни
a20.0,бубонная чума,некоторые инфекционные и паразитарные болезни
a20.1,целлюлярнокожная чума,некоторые инфекционные и паразитарные болезни
a20.2,легочная чума,некоторые инфекционные и паразитарные болезни
