код_препарата,дозировка,торговое_название,стоимость,мета_информация
200052200,1.5,галоперидол,12,"галоперидол, 1,5 мг № 50"
200052400,5,галоперидол,15,"галоперидол, 5 мг № 50, таблетки"
200059000,3.5,манинил,93,"манинил, 3,5 мг № 120, таблетки"
200165100,50,пури-нетол,525,"пури-нетол, 50 мг № 25, таблетки"
200194100,0.01,нифедипин,12,"нифедипин, 10 мг № 50, таблетки"
200214800,400,пирацетам,31,"пирацетам, 400 мг № 60, таблетки"
200247900,200,теотард,60,"теотард, 200 мг № 40, капсулы"
200331600,0.5,новонорм,198,"новонорм, 0,5 мг № 30, таблетки"
200411000,0.25,тимолол-акос,15,"тимолол-акос, 0,25% № 1, капли глазные"
200531000,100,мексикор,106,"мексикор, 100 мг № 20, таблетки"
200575700,10,дюфастон,286,"дюфастон, 10 мг № 20, таблетки"
200579700,unknown,тиреокомб,90,"тиреокомб, № 40, таблетки"
200793300,0.04,но-шпа,143,"но-шпа, 40 мг № 100, таблетки"
200900002,4,авандия,1646,"авандия, 4 мг № 28, таблетки покрытые плёночной оболочкой"
200900008,100,актрапид нм пенфилл,807,"актрапид нм пенфилл, 100ме/мл 3 мл № 5, картриджи, раствор для инъекций"
200900009,100,актрапид нм,421,"актрапид нм, 100 ме/мл, 10 мл, флакон № 1, раствор для инъекций"
200900010,100,альдуразим,39751,"альдуразим, 100 ме/мл 5 мл № 1, концентрат для приготовления раствора для инфузий"
200900017,10,амитриптилин,18,"амитриптилин, 10 мг № 50, таблетки"
200900018,25,амитриптилин,19,"амитриптилин, 25 мг № 50, таблетки"
201000009,20,октреотид-депо,17487,"октреотид-депо, 20 мг № 1, лиофилизат для приготовления суспензии для внутримышечного введения, пролонгированного действия"
201000016,150,триттико,1020,"триттико, 150 мг № 20, таблетки с контролированным высвобождением"
201000019,100,дифенин,83,"дифенин, 100 мг № 20, таблетки"
201000021,100,депакин хроносфера,131,"депакин хроносфера, 100 мг № 30, гранулы пролонгированного действия для приема внутрь"
201000023,250,депакин хроносфера,245,"депакин хроносфера, 250 мг № 30, гранулы пролонгированного действия для приема внутрь"
201000024,1,азилект,3716,"азилект, 1 мг № 30, таблетки"
201000053,0.1,саламол эко,113,"саламол эко, 0,1 мг/доза 200 доз № 1, аэрозоль для ингаляций дозированный"
201000059,20,лизиноприл,41,"лизиноприл, 20 мг № 20, таблетки"
201000076,40,моночинкве,161,"моночинкве, 40 мг № 30, таблетки"
201000088,75,зилт,517,"зилт, 75 мг № 14, таблетки покрытые плёночной оболочкой"
201000132,2.5+10,энзикс,103,"энзикс, 2,5 мг+10 мг № 30, таблетки"
201000135,7.5,"зокардис 7,5",306,"зокардис, 7,5 мг № 28, таблетки покрытые оболочкой"
201000144,20+5,фотил,179,"фотил, 20 мг+5 мг/мл, 5 мл № 1, капли глазные"
201000158,0.125,сумамед,286,"сумамед, 125 мг № 6, таблетки покрытые плёночной оболочкой"
201000182,0.5,сертикан,6700,"сертикан, 0,5 мг № 60, таблетки"
201000183,1,рапамун,39232,"рапамун, 1 мг № 100, таблетки покрытые оболочкой"
201000581,1,вентолин небулы,202,"вентолин небулы, 1 мг/мл, 2,5 мл № 20, раствор для ингаляций (в небулах)"
200900023,0.875+0.125,амоксиклав,370,"амоксиклав, 0,875 г + 0,125 г № 14, таблетки покрытые оболочкой"
200900028,20,арава,1164,"арава, 20 мг № 30, таблетки покрытые плёночной оболочкой"
200900029,4,артезин,244,"артезин, 4 мг № 30, таблетки"
200900039,0.2,ацц,99,"ацц, 200 мг № 20, таблетки шипучие"
200900041,250,баета,5851,"баета, 250 мкг/мл 2,4 мл, шприц-ручка № 1, раствор для подкожного введения"
200900043,0.1,беклазон эко,268,"беклазон эко, 0,1 мг/доза 200 доз № 1, аэрозоль для ингаляций дозированный"
200900044,0.25,беклазон эко,381,"беклазон эко, 0,25 мг/доза 200 доз № 1, аэрозоль для ингаляций дозированный"
200900045,0.25,беклазон эко лд,855,"беклазон эко легкое дыхание, 0,25 мг/доза 200 доз № 1, аэрозоль для ингаляций дозированный активир.вдохом"
200900046,0.1,беклазон эко лд,542,"беклазон эко легкое дыхание, 0,1 мг/доза 200 доз № 1, аэрозоль для ингаляций дозированный активир.вдохом"
200900047,100,бензонал,51,"бензонал, 100 мг № 50, таблетки"
200900055,0.024,бетасерк,283,"бетасерк, 24 мг № 20, таблетки"
200900059,10,бипрол,129,"бипрол, 10 мг № 30, таблетки покрытые плёночной оболочкой"
200900060,500,бифидумбактерин,73,"бифидумбактерин, 500 млн.кое, 5 доз № 10, порошок для внутреннего и местного применения"
200900063,2.5,бромокриптин-рихтер,250,"бромокриптин-рихтер, 2,5 мг № 30, таблетки"
200900070,5,варфарекс,121,"варфарекс, 5 мг № 100, таблетки"
200900074,40,верапамил,21,"верапамил, 40 мг № 50, таблетки покрытые плёночной оболочкой"
200900076,1.5,галоперидол,12,"галоперидол, 1,5 мг № 50, таблетки"
200900077,5,галоперидол,14,"галоперидол, 5 мг № 50"
200900080,25,гидрохлортиазид,32,"гидрохлортиазид, 25 мг № 20, таблетки"
200900088,57.64,депакин,220,"депакин, 57,64 мг/мл 150 мл № 1, сироп"
200900095,0.25,дигоксин,42,"дигоксин, 0,25 мг № 30, таблетки"
200900100,500,диспорт,15110,"диспорт, 500 ед № 1, лиофилизат для приготовления раствора для инъекций"
200900108,0.667,дюфалак,244,"дюфалак, 667 мг/мл 200 мл № 1, сироп"
200900117,10,изониазид,32,"изониазид, 10% 5 мл № 10, раствор для инъекций"
200900120,9,инвега,3109,"инвега, 9 мг № 28, таблетки пролонгированного действия покрытые оболочкой"
200900121,6,инвега,2467,"инвега, 6 мг № 28, таблетки пролонгированного действия покрытые оболочкой"
200900129,60,калимин 60 н,727,"калимин 60н, 60 мг № 100, таблетки"
200900131,1,канамицин,5,"канамицин, 1 г № 1, порошок для приготовления раствора для инъекций"
200900132,1,капреостат,970,"капреостат, 1 г № 1, порошок для приготовления раствора для инъекций"
200900135,40,кардикет,194,"кардикет, 40 мг № 50, таблетки пролонгированного действия"
200900148,2,клоназепам,84,"клоназепам, 2 мг № 30, таблетки"
200900149,2,клопиксол,314,"клопиксол, 2 мг № 100, таблетки покрытые плёночной оболочкой"
200900150,200,клопиксол депо,2524,"клопиксол депо, 200 мг/мл 1 мл № 10, раствор для внутримышечного введения (масляный)"
200900153,unknown,комбитуб,970,"комбитуб, (150мг+75мг+400мг+275мг) № 100, таблетки"
200900157,20,кордипин ретард,34,"кордипин ретард, 20 мг № 30, таблетки пролонгированного действия покрытые плёночной оболочкой"
200900158,40,кордипин хл,94,"кордипин хл, 40 мг № 20, таблетки с модифицированным высвобождением покрытые пленочной оболочкой"
200900161,10,кортеф,454,"кортеф, 10 мг № 100, таблетки"
200900165,0.1,космофер,3852,"космофер, 100 мг/2 мл № 5, раствор для инъекций"
200900166,10,креон 10000,273,"креон 10000, 150 мг № 20, капсулы"
200900167,25,креон 25000,536,"креон 25000, 25000 ед (300 мг) № 20, капсулы кишечнорастворимые"
200900172,250,купренил,5364,"купренил, 250 мг № 100, таблетки покрытые плёночной оболочкой"
200900174,100,ламиктал,1048,"ламиктал, 100 мг № 30, таблетки"
200900178,100,левемир флекспен,2343,"левемир флекспен, 100 ед/мл 3 мл, картриджи в шприц-ручках № 5, раствор для подкожного введения"
200900181,10,лизиноприл,16,"лизиноприл, 10 мг № 30, таблетки"
200900183,10,лоратадин,33,"лоратадин, 10 мг № 10, таблетки"
200900189,1.75,манинил,66,"манинил, 1,75 мг № 120, таблетки"
200900190,3.5,манинил,92,"манинил 3,5, 3,5 мг № 120, таблетки"
200900192,125,мексидол,41,"мексидол, 125 мг № 30, таблетки покрытые оболочкой/пленочной оболочкой"
200900196,100,метокард,52,"метокард, 100 мг № 30, таблетки"
200900197,2.5,метотрексат,165,"метотрексат, 2,5 мг № 50, таблетки покрытые оболочкой"
200900198,200,миакальцик,1937,"миакальцик, 200 ме/доза 14 доз № 1, спрей назальный дозированный"
200900202,10,морфин,248,"морфин, 10 мг/мл 1 мл № 10, раствор для инъекций"
200900211,100,новомикс 30 флекс пен,1692,"новомикс 30 флекспен, 100 ед/мл 3 мл, шприц-ручки № 5, суспензия для подкожного введения"
200900214,100,новорапид флекс пен,1486,"новорапид флекспен, 100 ед/мл 3 мл, шприц-ручки № 5, раствор для внутривенного и подкожного введения"
200900234,180,пегасис,5500,"пегасис, 180 мкг 0,5 мл, шприц-тюбик № 1, раствор для подкожного введения"
200900235,40,пектрол,66,"пектрол, 40 мг № 30, таблетки пролонгированного действия покрытые оболочкой"
200900238,25,пиразидол,125,"пиразидол, 25 мг № 50, таблетки"
200900248,100,протафан нм пенфилл,953,"протафан нм пенфилл, 100 ме/мл 3 мл, картриджи № 5, суспензия для подкожного введения"
200900249,250,протионамид,228,"протионамид, 250 мг № 50, таблетки покрытые плёночной оболочкой"
200900253,200,пульмикорт турбухалер,428,"пульмикорт турбухалер, 200 мкг/доза 100 доз № 1, порошок для ингаляций дозированный"
200900255,1.5,равел ср,118,"равел ср, 1,5 мг № 30, таблетки покрытые оболочкой, пролонгированные"
200900257,1000000,реаферон-ес,774,"реаферон-ес, 1000000 ме № 10, лиофилизат для приготовления раствора для подкожного введения"
201200306,50,экорал,-1,"экорал, 50 мг № 50, капсулы мягкие"
200900258,3000000,реаферон-ес,1183,"реаферон-ес, 3000000 ме № 5, лиофилизат для приготовления раствора для подкожного введения"
200900266,200,рибавин,1492,"рибавин, 200 мг № 40, капсулы"
200900269,37.5,рисполепт конста,3722,"рисполепт конста, 37,5 мг № 1, порошок для приготовления суспензии для внутримышечного введения пролонгированного действия"
200900270,25,рисполепт конста,2441,"рисполепт конста, 25 мг № 1, порошок для приготовления суспензии для внутримышечного введения пролонгированного действия"
200900271,50,рисполепт конста,4990,"рисполепт конста, 50 мг № 1, порошок для приготовления суспензии для внутримышечного введения пролонгированного действия"
200900273,150,рифабутин,3492,"рифабутин, 150 мг № 30, капсулы"
200900276,150,р-цин,153,"р-цин, 150 мг № 100, таблетки"
